topic,device,device_version,broker,payload_len,msg_type,qos,payload_type
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,335,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,251,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,335,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,254,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,329,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,251,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,329,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,254,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,335,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,305,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,251,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,335,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,254,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,242,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,329,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,251,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,329,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,308,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,251,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,242,3,0,TEXT
lg/mosquitto/v1/fridge/status,LG,unknown,mosquitto,329,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
sensor/mosquitto/v1/pi,RaspberryPi,unknown,mosquitto,305,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
sonoff/mosquitto/v1/power,Sonoff,unknown,mosquitto,254,3,1,TEXT
,Unknown,unknown,unknown,0,4,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,236,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,236,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,242,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,236,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,236,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,236,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,344,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,236,3,0,TEXT
miot/mosquitto/v1/device/control,Xiaomi,unknown,mosquitto,347,3,0,TEXT
hue/mosquitto/v1/light,Philips,unknown,mosquitto,239,3,0,TEXT
